name;slug;value;date_of_information;ranking;region
"Bolivia";"bolivia";"3,834,000";"2020";98;"South America"
"Lebanon";"lebanon";"3,768,000";"2020";99;"Middle East"
"Costa Rica";"costa-rica";"3,674,000";"2020";100;"Central America and the Caribbean"
"Armenia";"armenia";"3,633,000";"2020";101;"Middle East"
"Lithuania";"lithuania";"3,512,000";"2020";102;"Europe"
"Haiti";"haiti";"3,453,000";"2020";103;"Central America and the Caribbean"
"Kenya";"kenya";"3,304,000";"2020";104;"Africa"
"Latvia";"latvia";"3,089,000";"2020";105;"Europe"
"Zambia";"zambia";"3,065,000";"2020";106;"Africa"
"Estonia";"estonia";"3,030,000";"2020";107;"Europe"
"Iceland";"iceland";"2,967,000";"2020";108;"Europe"
"Cambodia";"cambodia";"2,954,000";"2020";109;"East and Southeast Asia"
"Congo, Democratic Republic of the";"congo-democratic-republic-of-the";"2,919,000";"2020";110;"Africa"
"Mozambique";"mozambique";"2,765,000";"2020";111;"Africa"
"El Salvador";"el-salvador";"2,586,000";"2020";112;"Central America and the Caribbean"
"Albania";"albania";"2,531,000";"2020";113;"Europe"
"Zimbabwe";"zimbabwe";"2,473,000";"2020";114;"Africa"
"Uganda";"uganda";"2,397,000";"2020";115;"Africa"
"Bhutan";"bhutan";"2,334,000";"2020";116;"South Asia"
"Cote d'Ivoire";"cote-divoire";"2,197,000";"2020";117;"Africa"
"Trinidad and Tobago";"trinidad-and-tobago";"2,123,000";"2020";118;"Central America and the Caribbean"
"North Macedonia";"north-macedonia";"1,928,000";"2020";119;"Europe"
"Luxembourg";"luxembourg";"1,899,000";"2020";120;"Europe"
"Cyprus";"cyprus";"1,881,000";"2020";121;"Europe"
"Nicaragua";"nicaragua";"1,837,000";"2020";122;"Central America and the Caribbean"
"Yemen";"yemen";"1,772,000";"2020";123;"Middle East"
"Cameroon";"cameroon";"1,754,000";"2020";124;"Africa"
"Tanzania";"tanzania";"1,623,000";"2020";125;"Africa"
"Mongolia";"mongolia";"1,479,000";"2020";126;"East and Southeast Asia"
"Kosovo";"kosovo";"1,424,000";"2020";127;"Europe"
"Nepal";"nepal";"1,392,000";"2020";128;"South Asia"
